0,-0.03125
1,0
2,0.015625
3,0.03125
4,-0.0625
5,-0.015625
6,0.140625
7,-0.046875
8,0
9,-0.078125
10,0.0625
11,-0.0625
12,-0.03125
13,0.015625
14,0.03125
15,-0.03125
16,0
17,-0.125
18,-0.125
19,-0.015625
20,-0.046875
21,-0.078125
22,-0.078125
23,-0.0625
24,-0.0625
25,0
26,0
27,0
28,-0.078125
29,-0.0625
30,0.046875
31,0.0625
32,0
33,0.03125
34,0.046875
35,-0.125
36,0
37,-0.03125
38,-0.046875
39,0.03125
40,-0.046875
41,0.015625
42,0.015625
43,0.078125
44,-0.0625
45,0.046875
46,0.078125
47,-0.046875
48,-0.015625
49,1
50,-0.015625
51,-0.046875
52,0.078125
53,0.046875
54,-0.0625
55,0.078125
56,0.015625
57,0.015625
58,-0.046875
59,0.03125
60,-0.046875
61,-0.03125
62,0
63,-0.125
64,0.046875
65,0.03125
66,0
67,0.0625
68,0.046875
69,-0.0625
70,-0.078125
71,0
72,0
73,0
74,-0.0625
75,-0.0625
76,-0.078125
77,-0.078125
78,-0.046875
79,-0.015625
80,-0.125
81,-0.125
82,0
83,-0.03125
84,0.03125
85,0.015625
86,-0.03125
87,-0.0625
88,0.0625
89,-0.078125
90,0
91,-0.046875
92,0.140625
93,-0.015625
94,-0.0625
95,0.03125
96,0.015625
97,0
98,-0.03125
99,0.0625
100,0.0625
101,0.015625
102,0
103,0.171875
104,0
105,-0.03125
106,0.078125
107,0.078125
108,0
109,-0.03125
110,0.03125
111,0.03125
112,0
113,-0.0625
114,-0.0625
115,-0.03125
116,0.046875
117,0
118,0
119,0.0625
120,-0.03125
121,0.03125
122,0.0625
123,0.015625
124,-0.046875
125,-0.046875
126,-0.03125
127,0.03125
128,-0.03125
129,-0.046875
130,-0.078125
131,-0.015625
132,-0.015625
133,-0.0625
134,0
135,-0.046875
136,0.046875
137,-0.03125
138,0.0625
139,0.078125
140,0.0625
141,-0.015625
142,0.078125
143,-0.0625
144,0.03125
145,0.015625
146,0.046875
147,0.046875
148,-0.140625
149,-0.046875
150,0.0625
151,0.046875
152,-0.109375
153,-0.03125
154,0.015625
155,0.03125
156,0.046875
157,0
158,0
159,-0.046875
160,0.03125
161,0.046875
162,0.0625
163,0.015625
164,0.015625
165,0.03125
166,0.03125
167,-0.125
168,-0.0625
169,0.09375
170,-0.078125
171,-0.0625
172,-0.09375
173,0.09375
174,0
175,0
176,-0.078125
177,0.0625
178,-0.078125
179,0
180,0
181,0.09375
182,-0.09375
183,-0.0625
184,-0.078125
185,0.09375
186,-0.0625
187,-0.125
188,0.03125
189,0.03125
190,0.015625
191,0.015625
192,0.0625
193,0.046875
194,0.03125
195,-0.046875
196,0
197,0
198,0.046875
199,0.03125
200,0.015625
201,-0.03125
202,-0.109375
203,0.046875
204,0.0625
205,-0.046875
206,-0.140625
207,0.046875
208,0.046875
209,0.015625
210,0.03125
211,-0.0625
212,0.078125
213,-0.015625
214,0.0625
215,0.078125
216,0.0625
217,-0.03125
218,0.046875
219,-0.046875
220,0
221,-0.0625
222,-0.015625
223,-0.015625
224,-0.078125
225,-0.046875
226,-0.03125
227,0.03125
228,-0.03125
229,-0.046875
230,-0.046875
231,0.015625
232,0.0625
233,0.03125
234,-0.03125
235,0.0625
236,0
237,0
238,0.046875
239,-0.03125
240,-0.0625
241,-0.0625
242,0
243,0.03125
244,0.03125
245,-0.03125
246,0
247,0.078125
248,0.078125
249,-0.03125
250,0
251,0.171875
252,0
253,0.015625
254,0.0625
255,0.0625
