组别,曲线,EbN0_dB,BER
CSK-IDMA 内迭代,内迭代1,6,0.0078125
CSK-IDMA 内迭代,内迭代2,6,0.0078125
CSK-IDMA 内迭代,内迭代3,6,0.0078125
CSK-IDMA 外迭代,外迭代1,6,0.0109375
CSK-IDMA 外迭代,外迭代2,6,0.0078125
CSK-IDMA 外迭代,外迭代3,6,0.0078125
CSK-IDMA 用户负载,8用户,6,0.00390625
CSK-IDMA 用户负载,12用户,6,0.009375
CSK-IDMA 用户负载,16用户,6,0.012109375
