Method,SNR_dB,BER,DisplayBER,ErrorCount,BitTotal
DSSS-2,2,0.609375,0.609375,78,128
DSSS-2,3,0.5546875,0.5546875,71,128
DSSS-2,4,0.5234375,0.5234375,67,128
DSSS-2,5,0.546875,0.546875,70,128
DSSS-2,6,0.484375,0.484375,62,128
DSSS-2,7,0.6015625,0.6015625,77,128
DSSS-2,8,0.5390625,0.5390625,69,128
DSSS-2,9,0.515625,0.515625,66,128
DSSS-2,10,0.5234375,0.5234375,67,128
DSSS-4,-5,0.484375,0.484375,62,128
DSSS-4,-4,0.4921875,0.4921875,63,128
DSSS-4,-3,0.46875,0.46875,60,128
DSSS-4,-2,0.3515625,0.3515625,45,128
DSSS-4,-1,0.4453125,0.4453125,57,128
DSSS-4,0,0.546875,0.546875,70,128
DSSS-4,1,0.5625,0.5625,72,128
DSSS-4,2,0.484375,0.484375,62,128
DSSS-4,3,0.4765625,0.4765625,61,128
DSSS-4,4,0.5703125,0.5703125,73,128
DSSS-4,5,0.4765625,0.4765625,61,128
DSSS-4,6,0.4375,0.4375,56,128
DSSS-4,7,0.5234375,0.5234375,67,128
DSSS-4,8,0.4921875,0.4921875,63,128
DSSS-4,9,0.5,0.5,64,128
DSSS-4,10,0.515625,0.515625,66,128
DSSS-8,-5,0.484375,0.484375,62,128
DSSS-8,-4,0.46875,0.46875,60,128
DSSS-8,-3,0.546875,0.546875,70,128
DSSS-8,-2,0.546875,0.546875,70,128
DSSS-8,-1,0.5,0.5,64,128
DSSS-8,0,0.46875,0.46875,60,128
DSSS-8,1,0.53125,0.53125,68,128
DSSS-8,2,0.5078125,0.5078125,65,128
DSSS-8,3,0.53125,0.53125,68,128
DSSS-8,4,0.53125,0.53125,68,128
DSSS-8,5,0.46875,0.46875,60,128
DSSS-8,6,0.5,0.5,64,128
DSSS-8,7,0.4296875,0.4296875,55,128
DSSS-8,8,0.4921875,0.4921875,63,128
DSSS-8,9,0.546875,0.546875,70,128
DSSS-8,10,0.46875,0.46875,60,128
