0,0.326171875,0.326171875,0.326171875,0.326171875,0.2421875,0.326171875
1,0.375,0.375,0.375,0.375,0.201171875,0.375
2,0.30078125,0.30078125,0.30078125,0.30078125,0.2109375,0.30078125
3,0.255859375,0.255859375,0.255859375,0.255859375,0.16796875,0.255859375
4,0.2109375,0.2109375,0.2109375,0.2109375,0.130859375,0.2109375
5,0.1796875,0.1796875,0.1796875,0.1796875,0.052734375,0.1796875
6,0.1796875,0.1796875,0.1796875,0.1796875,0.0703125,0.1796875
7,0.111328125,0.111328125,0.111328125,0.111328125,0.025390625,0.111328125
8,0.068359375,0.068359375,0.068359375,0.068359375,0.013671875,0.068359375
9,0.044921875,0.044921875,0.044921875,0.044921875,0.005859375,0.044921875
10,0.009765625,0.009765625,0.009765625,0.009765625,0,0.009765625
