组别,曲线,EbN0_dB,BER
CSK-IDMA 内迭代,内迭代1,0,0.208333333333333
CSK-IDMA 内迭代,内迭代2,0,0.208333333333333
CSK-IDMA 内迭代,内迭代1,2,0.0416666666666667
CSK-IDMA 内迭代,内迭代2,2,0.0416666666666667
CSK-IDMA 外迭代,外迭代1,0,0.208333333333333
CSK-IDMA 外迭代,外迭代2,0,0.208333333333333
CSK-IDMA 外迭代,外迭代1,2,0.0416666666666667
CSK-IDMA 外迭代,外迭代2,2,0.0416666666666667
