t_s,rx
0,310.048470929289
2.08333333333333e-05,111.135846476396
4.16666666666667e-05,-415.219313762557
6.25e-05,53.6039095646648
8.33333333333333e-05,296.672704877153
0.000104166666666667,-80.8266248511748
0.000125,-302.309239431675
0.000145833333333333,-6.22971172142738
0.000166666666666667,494.469174613339
0.0001875,196.388895243912
0.000208333333333333,-358.968997709753
0.000229166666666667,160.95727602558
0.00025,320.810650458328
0.000270833333333333,20.6355703424937
0.000291666666666667,-232.812003106951
0.0003125,-37.0127022075083
0.000333333333333333,268.899895088965
0.000354166666666667,115.514847096527
0.000375,-169.955313491456
0.000395833333333333,-19.4645417299795
0.000416666666666667,297.083969289149
0.0004375,32.2783710665772
0.000458333333333333,-214.949024729269
0.000479166666666667,-2.7762319644758
0.0005,288.648454121253
0.000520833333333333,165.613820515309
0.000541666666666667,-214.359586778432
0.0005625,-120.931445305954
0.000583333333333333,276.731825227293
0.000604166666666667,54.2839404584386
0.000625,-121.537390945951
0.000645833333333333,-284.330039163519
0.000666666666666667,110.509670036193
0.0006875,164.775998793098
0.000708333333333333,-361.694884295178
0.000729166666666667,-124.214300609889
0.00075,201.657974547965
0.000770833333333333,165.975901219195
0.000791666666666667,-98.0569308637977
0.0008125,-316.685364423848
0.000833333333333333,175.540139911794
0.000854166666666667,197.351624548427
0.000875,19.5047858033473
0.000895833333333333,-258.032725244258
0.000916666666666667,-52.847560728613
0.0009375,275.313362342173
0.000958333333333333,-17.343983311594
0.000979166666666667,-242.232321863101
0.001,74.0720548898136
0.00102083333333333,348.368659543066
0.00104166666666667,-60.041807874572
0.0010625,-275.860758769134
0.00108333333333333,-66.9180936713905
0.00110416666666667,212.548433330888
0.001125,213.821028375562
0.00114583333333333,-82.1721212602283
0.00116666666666667,-261.269160282336
0.0011875,198.51455867457
0.00120833333333333,199.036714973814
0.00122916666666667,-117.111379692403
0.00125,-279.366915128672
0.00127083333333333,187.375618402101
0.00129166666666667,246.582379842638
0.0013125,-118.134621249721
0.00133333333333333,-118.463394757746
0.00135416666666667,190.636959263233
0.001375,164.910828508282
0.00139583333333333,60.7030073190916
0.00141666666666667,-320.919670823698
0.0014375,37.5616046339891
0.00145833333333333,228.046864031017
0.00147916666666667,146.011163017084
0.0015,-277.420084386498
0.00152083333333333,-46.0031446258899
0.00154166666666667,218.927264298972
0.0015625,14.6165896259137
0.00158333333333333,-352.575314441607
0.00160416666666667,-70.4701668089206
0.001625,-38.0037315745923
0.00164583333333333,263.835425129069
0.00166666666666667,113.8908387937
0.0016875,-257.998112679605
0.00170833333333333,-6.59632333991946
0.00172916666666667,382.188222871935
0.00175,-30.4726745398303
0.00177083333333333,-242.607082438864
0.00179166666666667,32.3438117956747
0.0018125,270.281618476287
0.00183333333333333,31.8616453940078
0.00185416666666667,-356.411215381634
0.001875,-347.294039254771
0.00189583333333333,6.40825716097234
0.00191666666666667,321.282173426597
0.0019375,157.983672934185
0.00195833333333333,-328.224776459183
0.00197916666666667,20.8051691167772
0.002,282.434403043747
0.00202083333333333,-127.47380194679
0.00204166666666667,-314.297693057102
0.0020625,-100.303420251293
0.00208333333333333,338.825382902486
0.00210416666666667,-63.6207565298776
0.002125,33.2814779975116
0.00214583333333333,-309.087920319603
0.00216666666666667,-8.6190996971349
0.0021875,239.132752054523
0.00220833333333333,49.3379826825461
0.00222916666666667,-243.594253888197
0.00225,85.203892214153
0.00227083333333333,276.910534741942
0.00229166666666667,-111.262731063265
0.0023125,-340.074416296463
0.00233333333333333,63.371858446693
0.00235416666666667,223.259345207912
0.002375,314.770913030874
0.00239583333333333,113.640495917775
0.00241666666666667,-168.265048496272
0.0024375,-225.879259375748
0.00245833333333333,259.929914112626
0.00247916666666667,29.8894350534828
0.0025,-94.3193372787395
0.00252083333333333,-53.2694229580134
0.00254166666666667,356.270657700325
0.0025625,39.0345684168688
0.00258333333333333,-300.644305415211
0.00260416666666667,-120.342490695128
0.002625,-147.121489790788
0.00264583333333333,158.842787465487
0.00266666666666667,257.106488411016
0.0026875,-301.195890931166
0.00270833333333333,-243.13040172718
0.00272916666666667,140.866972177208
0.00275,125.144396980145
0.00277083333333333,-160.152097611438
0.00279166666666667,-204.27844262576
0.0028125,193.237096753244
0.00283333333333333,140.015814872377
0.00285416666666667,-122.297136728971
0.002875,21.3973377078958
0.00289583333333333,-295.423723968326
0.00291666666666667,1.39865626229995
0.0029375,261.140664244149
0.00295833333333333,-112.910552450588
0.00297916666666667,-311.277028048357
0.003,-44.8340591474106
0.00302083333333333,233.989279301081
0.00304166666666667,-76.6263850459775
0.0030625,-326.425066990823
0.00308333333333333,-116.403210218749
0.00310416666666667,352.740837280054
0.003125,207.599569525376
0.00314583333333333,213.015768813977
0.00316666666666667,-177.946504169154
0.0031875,-263.010479925233
0.00320833333333333,252.721196334979
0.00322916666666667,216.967339761797
0.00325,-234.136123696002
0.00327083333333333,-142.532471594819
0.00329166666666667,176.741129011077
0.0033125,189.115463274654
0.00333333333333333,-208.425022441176
0.00335416666666667,-276.919075781798
0.003375,-324.497096130752
0.00339583333333333,48.2879390746343
0.00341666666666667,357.210263109925
0.0034375,124.852172210347
0.00345833333333333,-350.914202961893
0.00347916666666667,-163.464469491481
