t_s,tx
0,700
1.04166666666667e-05,494.974746830583
2.08333333333333e-05,4.28626379701574e-14
3.125e-05,-494.974746830583
4.16666666666667e-05,-700
5.20833333333333e-05,-494.974746830583
6.25e-05,-1.28587913910472e-13
7.29166666666667e-05,494.974746830583
8.33333333333333e-05,700
9.375e-05,494.974746830583
0.000104166666666667,2.14313189850787e-13
0.000114583333333333,-494.974746830583
0.000125,-696.629308670538
0.000135416666666667,-541.107317353916
0.000145833333333333,-68.6119982306927
0.00015625,444.075298914552
0.000166666666666667,696.629308670538
0.000177083333333333,541.107317353916
0.0001875,68.6119982306928
0.000197916666666667,-444.075298914551
0.000208333333333333,-696.629308670538
0.00021875,-541.107317353916
0.000229166666666667,-68.6119982306941
0.000239583333333333,444.075298914551
0.00025,696.629308670538
0.000260416666666667,541.107317353916
0.000270833333333333,68.6119982306942
0.00028125,-444.075298914551
0.000291666666666667,-696.629308670538
0.000302083333333333,-541.107317353916
0.0003125,-68.6119982306918
0.000322916666666667,444.075298914551
0.000333333333333333,696.629308670538
0.00034375,541.107317353918
0.000354166666666667,68.6119982306919
0.000364583333333333,-444.075298914551
0.000375,-646.7156727579
0.000385416666666667,-646.715672757901
0.000395833333333333,-267.878402655565
0.00040625,267.878402655561
0.000416666666666667,646.7156727579
0.000427083333333333,646.715672757902
0.0004375,267.878402655563
0.000447916666666667,-267.878402655561
0.000458333333333333,-646.715672757899
0.00046875,-646.715672757901
0.000479166666666667,-267.878402655565
0.000489583333333333,267.878402655559
0.0005,646.7156727579
0.000510416666666667,646.715672757902
0.000520833333333333,267.878402655563
0.00053125,-267.878402655561
0.000541666666666667,-646.715672757899
0.000552083333333333,-646.715672757901
0.0005625,-267.878402655565
0.000572916666666667,267.878402655563
0.000583333333333333,646.7156727579
0.00059375,646.715672757902
0.000604166666666667,267.878402655563
0.000614583333333333,-267.878402655561
0.000625,-444.075298914553
0.000635416666666667,-696.629308670537
0.000645833333333333,-541.107317353917
0.00065625,-68.6119982306919
0.000666666666666667,444.075298914551
0.000677083333333333,696.629308670538
0.0006875,541.107317353919
0.000697916666666667,68.6119982306944
0.000708333333333333,-444.075298914553
0.00071875,-696.629308670538
0.000729166666666667,-541.107317353918
0.000739583333333333,-68.611998230697
0.00075,444.075298914551
0.000760416666666667,696.629308670538
0.000770833333333333,541.107317353916
0.00078125,68.6119982306946
0.000791666666666667,-444.075298914549
0.000802083333333333,-696.629308670538
0.0008125,-541.107317353918
0.000822916666666667,-68.6119982306922
0.000833333333333333,444.075298914551
0.00084375,696.629308670537
0.000854166666666667,541.107317353919
0.000864583333333333,68.6119982306997
0.000875,-7.29531418383899e-13
0.000885416666666667,-494.974746830582
0.000895833333333333,-700
0.00090625,-494.974746830587
0.000916666666666667,-6.81689258303747e-12
0.000927083333333333,494.974746830584
0.0009375,700
0.000947916666666667,494.974746830585
0.000958333333333333,4.41571828381743e-12
0.00096875,-494.974746830579
0.000979166666666667,-700
0.000989583333333333,-494.974746830583
0.001,-2.0145439845974e-12
0.00101041666666667,494.974746830581
0.00102083333333333,700
0.00103125,494.974746830582
0.00104166666666667,-3.8663031462264e-13
0.00105208333333333,-494.974746830575
0.0010625,-700
0.00107291666666667,-494.974746830587
0.00108333333333333,-7.15979368679873e-12
0.00109375,494.974746830584
0.00110416666666667,700
0.00111458333333333,494.974746830585
0.001125,541.107317353919
0.00113541666666667,68.6119982306892
0.00114583333333333,-444.075298914553
0.00115625,-696.629308670537
0.00116666666666667,-541.107317353917
0.00117708333333333,-68.6119982306967
0.0011875,444.075298914547
0.00119791666666667,696.629308670537
0.00120833333333333,541.107317353916
0.00121875,68.6119982306943
0.00122916666666667,-444.075298914549
0.00123958333333333,-696.629308670538
0.00125,-541.107317353914
0.00126041666666667,-68.6119982307018
0.00127083333333333,444.075298914543
0.00128125,696.629308670538
0.00129166666666667,541.107317353919
0.00130208333333333,68.6119982306994
0.0013125,-444.075298914553
0.00132291666666667,-696.629308670538
0.00133333333333333,-541.107317353918
0.00134375,-68.6119982306971
0.00135416666666667,444.075298914554
0.00136458333333333,696.629308670537
0.001375,646.715672757897
0.00138541666666667,646.715672757902
0.00139583333333333,267.878402655567
0.00140625,-267.878402655557
0.00141666666666667,-646.715672757902
0.00142708333333333,-646.715672757901
0.0014375,-267.878402655564
0.00144791666666667,267.87840265555
